time,P1 [mmHg]3
23.1,1.18534231
23.2,1.186374029
23.3,1.184501651
23.4,1.183266136
23.5,1.178808092
23.6,1.175063336
23.7,1.171955443
23.8,1.171624274
23.9,1.169446201
24,1.168694702
24.1,1.170032115
24.2,1.172146502
24.3,1.17182807
24.4,1.175063336
24.5,1.176706443
24.6,1.180107293
24.7,1.180005395
24.8,1.177266883
24.9,1.177317832
25,1.177916484
25.1,1.178043856
25.2,1.177725425
25.3,1.175203446
25.4,1.17457932
25.5,1.172337561
25.6,1.171624274
25.7,1.174197202
25.8,1.178196703
25.9,1.179801599
26,1.180081819
26.1,1.180909741
26.2,1.179967184
26.3,1.180629521
26.4,1.177967433
26.5,1.173764135
26.6,1.17210829
26.7,1.170796351
26.8,1.173522126
26.9,1.176655494
27,1.179241159
27.1,1.177101298
27.2,1.178069331
27.3,1.178413237
27.4,1.177164985
27.5,1.17401888
27.6,1.17075814
27.7,1.17182807
27.8,1.173891507
27.9,1.1769994
28,1.178897253
28.1,1.177305095
28.2,1.178043856
28.3,1.177254146
28.4,1.176158741
28.5,1.17252862
28.6,1.172299349
28.7,1.17373866
28.8,1.178171229
28.9,1.181330071
29,1.183342559
29.1,1.179151998
29.2,1.17606958
29.3,1.173611287
29.4,1.170949199
29.5,1.169751895
29.6,1.171242156
29.7,1.17620969
29.8,1.181623028
29.9,1.186819833
30,1.18767323
30.1,1.186412241
30.2,1.186170232
30.3,1.182833069
30.4,1.181903248
30.5,1.183444457
30.6,1.187889764
30.7,1.194678727
30.8,1.196920486
30.9,1.19778662
31,1.19615625
