time,P1 [mmHg]3
1616.4,1.216981681
1616.5,1.215949962
1616.6,1.214166745
1616.7,1.214587075
1616.8,1.214357804
1616.9,1.213886525
1617,1.213695466
1617.1,1.214281381
1617.2,1.21526215
1617.3,1.215835327
1617.4,1.216141021
1617.5,1.215949962
1617.6,1.216191971
1617.7,1.216293869
1617.8,1.21703263
1617.9,1.216370292
1618,1.216510402
1618.1,1.216115547
1618.2,1.215083828
1618.3,1.216013649
1618.4,1.215555107
1618.5,1.215873539
1618.6,1.216179233
1618.7,1.216586826
1618.8,1.217554858
1618.9,1.219147016
1619,1.220535379
1619.1,1.221070344
1619.2,1.220293371
1619.3,1.222509655
1619.4,1.223910754
1619.5,1.224267398
1619.6,1.222993671
1619.7,1.222700714
1619.8,1.223222942
1619.9,1.223350315
1620,1.223197467
1620.1,1.22318473
1620.2,1.221745419
1620.3,1.221719944
1620.4,1.220420743
1620.5,1.220777387
1620.6,1.218217196
1620.7,1.215071091
1620.8,1.213695466
1620.9,1.212727434
1621,1.212676485
1621.1,1.213580831
1621.2,1.214790871
1621.3,1.216179233
1621.4,1.217198215
1621.5,1.218178984
1621.6,1.220013151
1621.7,1.221567097
1621.8,1.22262429
1621.9,1.221923741
1622,1.222178486
1622.1,1.222318596
1622.2,1.222229435
1622.3,1.221949215
1622.4,1.221121293
1622.5,1.221490674
1622.6,1.220318845
1622.7,1.217758654
1622.8,1.21554237
1622.9,1.214230431
1623,1.214867295
1623.1,1.215975437
1623.2,1.217300113
1623.3,1.218981432
1623.4,1.220331582
1623.5,1.224267398
1623.6,1.222713451
1623.7,1.223554111
1623.8,1.22439477
1623.9,1.225553862
1624,1.224789626
1624.1,1.224967947
1624.2,1.225197218
1624.3,1.22444572
1624.4,1.222828087
1624.5,1.222191223
1624.6,1.221681733
1624.7,1.222102062
1624.8,1.22234407
1624.9,1.223554111
1625,1.226891275
1625.1,1.227324342
1625.2,1.228012154
1625.3,1.233272645
1625.4,1.235246922
1625.5,1.234711957
1625.6,1.235985683
1625.7,1.231693224
1625.8,1.228037629
1625.9,1.227999417
1626,1.226458208
1626.1,1.224776888
1626.2,1.223452213
1626.3,1.224611304
1626.4,1.223401264
1626.5,1.224050864
1626.6,1.225401015
1626.7,1.227731934
1626.8,1.229527889
1626.9,1.229540626
1627,1.229451465
1627.1,1.229718948
1627.2,1.229425991
1627.3,1.228368798
1627.4,1.228101315
1627.5,1.227273393
1627.6,1.227069596
1627.7,1.226776639
1627.8,1.226470945
1627.9,1.22523543
1628,1.223923492
1628.1,1.224509406
1628.2,1.223923492
1628.3,1.22402539
1628.4,1.223898017
1628.5,1.224687728
1628.6,1.225159006
1628.7,1.227400765
1628.8,1.22798668
1628.9,1.22849617
1629,1.227655511
1629.1,1.228878288
1629.2,1.229171246
1629.3,1.22947694
1629.4,1.229566101
1629.5,1.228967449
1629.6,1.229362305
1629.7,1.228585331
1629.8,1.227897519
1629.9,1.22784657
1630,1.227680985
1630.1,1.228114052
1630.2,1.228037629
1630.3,1.227324342
1630.4,1.226496419
1630.5,1.224853312
1630.6,1.224063602
1630.7,1.223834331
1630.8,1.223477687
1630.9,1.221872792
1631,1.223490424
1631.1,1.223796119
1631.2,1.223974441
1631.3,1.223541374
1631.4,1.225451964
1631.5,1.225974192
1631.6,1.227821095
1631.7,1.228827339
